,연도,선수,팀,구종,커브_구사%,커브_구속,커브_상하_무브먼트,커브_좌우_무브먼트,커브_분당_회전수,커브_좌우_릴리스포인트,커브_상하_릴리스포인트,커브_타구_속도,커브_상하_각도,커브_피안타율,커브_피장타율,커브_땅볼%,커브_라인드라이브%,커브_뜬공%,커브_팝플라이%,커브_강한_타구%
124,2022,최승용,두산,커브,9.3,115.6,-15.8,-6.3,1102.9,52.9,183.2,133.2,18.6,0.378,0.514,20.8,45.8,29.2,4.2,16.7
125,2022,오원석,SSG,커브,8.9,115.5,-9.4,-11.1,952.2,51.3,180.3,126.1,23.6,0.288,0.385,15.6,37.5,43.8,3.1,9.4
126,2022,한승혁,KIA,커브,8.4,119.8,-9.7,16.4,1207.3,-44.7,181.1,126.3,17.5,0.071,0.143,40.0,20.0,20.0,20.0,20.0
127,2022,수아레즈,삼성,커브,7.9,126.4,-7.5,7.3,756.6,-40.7,189.2,127.8,23.8,0.184,0.241,30.2,30.2,23.3,16.3,11.6
128,2022,스파크맨,롯데,커브,7.7,124.6,-20.2,17.3,1733.4,-54.0,177.0,139.7,9.8,0.258,0.355,40.0,40.0,10.0,10.0,35.0
129,2022,송명기,NC,커브,7.4,117.1,-8.2,15.5,1101.5,-68.7,157.0,132.2,22.5,0.206,0.294,20.0,50.0,5.0,25.0,20.0
130,2022,백정현,삼성,커브,6.7,118.2,6.4,1.1,519.2,52.4,177.6,126.3,34.4,0.043,0.043,16.7,25.0,16.7,41.7,8.3
131,2022,구창모,NC,커브,6.7,119.2,-11.7,-4.9,850.1,73.6,181.0,133.3,18.1,0.296,0.333,30.0,40.0,20.0,10.0,10.0
132,2022,이민호,LG,커브,6.0,118.4,-8.7,6.6,795.0,-56.4,176.2,137.0,18.6,0.2,0.2,33.3,33.3,20.0,13.3,6.7
133,2022,원태인,삼성,커브,4.8,115.2,-4.9,3.7,708.5,-33.9,181.0,131.3,36.3,0.267,0.667,7.1,21.4,42.9,28.6,14.3
134,2022,양현종,KIA,커브,3.7,117.6,-11.8,-7.3,891.3,56.1,188.6,135.0,13.7,0.226,0.258,42.9,23.8,23.8,9.5,14.3
135,2021,임현준,삼성,커브,61.7,105.9,15.9,-10.8,1122.1,98.2,94.3,116.8,17.1,0.233,0.333,30.4,39.1,8.7,21.7,4.3
136,2021,박준표,KIA,커브,41.6,116.5,0.3,31.8,1918.3,-58.2,124.0,122.7,24.3,0.271,0.39,26.7,28.9,28.9,15.6,8.9
137,2021,양현,키움,커브,40.8,114.0,11.8,12.6,1084.8,-106.9,86.9,131.5,23.5,0.25,0.294,19.6,31.4,31.4,17.6,13.7
138,2021,우규민,삼성,커브,36.2,118.8,0.2,15.9,1032.8,-103.2,113.8,131.7,19.7,0.221,0.364,33.3,29.4,21.6,15.7,19.6
139,2021,오동욱,한화,커브,35.9,118.9,4.4,24.0,1534.6,-80.8,130.8,122.8,24.8,0.128,0.231,33.3,23.3,20.0,23.3,3.3
140,2021,박종훈,SSG,커브,28.5,121.5,14.3,4.4,1035.3,-45.5,50.6,129.8,28.1,0.188,0.313,20.6,32.4,26.5,20.6,20.6
141,2021,신정락,한화,커브,27.6,117.7,-4.8,32.7,2031.7,-68.5,143.7,116.3,19.9,0.045,0.045,33.3,13.3,40.0,13.3,0.0
142,2021,요키시,키움,커브,26.8,126.3,-5.5,1.3,535.1,67.0,184.7,134.2,10.1,0.185,0.25,54.4,24.1,12.7,8.9,19.0
143,2021,김대유,LG,커브,26.6,118.9,-6.6,-19.2,1292.4,108.3,145.9,115.3,19.9,0.146,0.146,26.9,38.5,15.4,19.2,7.7
144,2021,윤명준,두산,커브,25.7,121.5,-21.5,8.2,1486.1,-54.1,184.6,135.4,21.2,0.22,0.268,29.2,37.5,12.5,20.8,29.2
145,2021,윤중현,KIA,커브,24.5,116.1,-3.7,18.9,1181.1,-106.9,120.3,129.7,16.0,0.215,0.323,43.4,22.6,18.9,15.1,13.2
146,2021,정찬헌,키움,커브,23.9,117.6,-12.7,18.1,1388.1,-34.0,177.2,132.1,16.9,0.221,0.25,35.0,33.3,16.7,15.0,11.7
147,2021,켈리,LG,커브,22.7,128.1,-12.0,11.0,1144.6,-41.5,197.4,133.0,9.4,0.199,0.292,50.0,31.4,12.8,5.8,20.9
