,연도,선수,팀,구종,직구_구사%,직구_구속,직구_상하_무브먼트,직구_좌우_무브먼트,직구_분당_회전수,직구_좌우_릴리스포인트,직구_상하_릴리스포인트,직구_타구_속도,직구_상하_각도,직구_피안타율,직구_피장타율,직구_땅볼%,직구_라인드라이브%,직구_뜬공%,직구_팝플라이%,직구_강한_타구%
136,2023,원태인,삼성,직구,41.2,143.8,28.8,-12.7,2389.2,-36.1,173.8,137.2,21.1,0.294,0.442,23.7,34.3,27.2,14.8,23.7
137,2023,장민재,한화,직구,41.0,135.3,28.1,-12.9,2212.6,-57.8,180.3,137.6,18.8,0.287,0.475,34.4,25.8,25.8,14.0,30.1
138,2023,스트레일리,롯데,직구,40.9,143.0,25.6,-17.5,2374.4,-67.7,178.0,131.0,26.6,0.315,0.5,20.9,33.7,24.4,20.9,20.9
139,2023,김선기,키움,직구,40.8,142.4,29.0,-16.3,2475.8,-55.1,166.4,139.5,22.1,0.354,0.519,21.8,41.8,23.6,12.7,29.1
140,2023,나균안,롯데,직구,40.7,142.5,29.7,-12.0,2420.3,-33.9,174.5,138.1,23.7,0.273,0.412,28.5,25.7,26.4,19.4,30.6
141,2023,맥카티,SSG,직구,40.6,144.8,28.8,13.7,2446.6,41.9,177.7,134.2,23.4,0.248,0.364,26.2,32.3,23.8,17.7,23.8
142,2023,김민,KT,직구,40.4,144.2,23.9,-6.2,1966.0,-47.4,176.5,137.1,17.3,0.475,0.65,29.4,41.2,20.6,8.8,32.4
143,2023,백정현,삼성,직구,40.3,135.8,33.4,12.5,2555.7,47.8,174.4,138.5,20.1,0.283,0.447,32.5,32.5,19.2,15.8,30.8
144,2023,페냐,한화,직구,40.2,144.8,25.5,-13.9,2240.0,-64.6,185.5,135.6,22.1,0.28,0.454,26.2,29.3,27.6,16.9,20.9
145,2023,브랜든,두산,직구,40.1,146.5,23.6,11.9,2065.6,62.5,184.2,130.2,18.2,0.195,0.252,35.1,32.5,16.9,15.6,23.4
146,2023,박세웅,롯데,직구,40.0,145.4,25.1,-15.0,2260.7,-23.9,167.6,135.2,18.1,0.312,0.432,33.9,33.3,20.3,12.4,26.6
147,2023,최지광,삼성,직구,39.6,142.5,26.2,-11.9,2174.3,-51.7,169.7,143.8,21.8,0.261,0.522,41.2,23.5,17.6,17.6,47.1
148,2023,벤자민,KT,직구,39.1,143.7,28.2,23.1,2790.6,66.4,187.4,135.9,23.6,0.243,0.369,23.8,35.7,21.7,18.9,23.8
149,2023,임찬규,LG,직구,39.1,140.8,26.9,-17.4,2385.1,-22.6,173.1,137.3,23.1,0.261,0.36,24.4,32.1,26.3,17.3,23.7
150,2023,문승원,SSG,직구,38.8,144.4,28.9,-19.3,2645.8,-42.5,166.3,136.6,21.0,0.333,0.567,32.3,28.5,21.5,17.7,25.4
151,2023,이상민,삼성,직구,38.5,136.9,24.1,20.0,2262.5,55.4,168.7,133.3,9.6,0.485,0.515,43.5,39.1,8.7,8.7,17.4
152,2023,최채흥,삼성,직구,38.2,137.0,27.0,11.7,2147.9,65.9,182.1,136.9,22.6,0.33,0.58,21.7,37.7,24.6,15.9,29.0
153,2023,박정수,두산,직구,38.0,139.1,11.8,-23.7,1980.7,-59.8,138.1,143.2,17.7,0.3,0.5,32.3,32.3,25.8,9.7,41.9
154,2023,강재민,한화,직구,37.9,141.2,14.4,-14.8,1616.3,-51.0,138.6,134.0,24.8,0.241,0.5,13.2,44.7,31.6,10.5,23.7
155,2023,플럿코,LG,직구,37.7,143.4,29.0,-12.1,2400.1,-37.7,181.7,134.8,28.0,0.254,0.373,21.2,26.7,26.0,26.0,21.9
156,2023,윌커슨,롯데,직구,37.5,144.1,26.1,-11.3,2195.5,-64.5,172.4,134.2,29.1,0.155,0.237,25.9,20.4,22.2,31.5,20.4
157,2023,임기영,KIA,직구,36.9,136.7,15.2,-28.2,2265.7,-80.7,143.1,131.5,26.7,0.189,0.337,20.5,23.3,35.6,20.5,15.1
158,2023,켈리,LG,직구,36.0,144.7,27.3,-13.6,2349.4,-27.5,192.6,137.8,20.2,0.304,0.379,28.9,35.3,20.3,15.5,33.2
159,2023,조이현,KT,직구,35.8,136.9,33.3,-8.4,2500.9,-15.3,179.9,139.7,24.6,0.478,0.761,17.5,40.0,22.5,20.0,25.0
