,연도,선수,팀,구종,포크_구사%,포크_구속,포크_상하_무브먼트,포크_좌우_무브먼트,포크_분당_회전수,포크_좌우_릴리스포인트,포크_상하_릴리스포인트,포크_타구_속도,포크_상하_각도,포크_피안타율,포크_피장타율,포크_땅볼%,포크_라인드라이브%,포크_뜬공%,포크_팝플라이%,포크_강한_타구%
108,2021,송명기,NC,포크,17.0,129.8,6.6,-16.8,1296.6,-90.3,153.6,130.3,14.7,0.253,0.33,43.4,28.3,13.2,15.1,9.4
109,2021,김재윤,KT,포크,16.3,130.1,15.8,-16.4,1628.3,-67.0,175.3,133.8,17.9,0.256,0.419,27.6,27.6,41.4,3.4,10.3
110,2021,박시영,KT,포크,15.8,137.1,15.5,-7.8,1341.9,-15.9,178.4,138.6,-0.2,0.29,0.323,73.7,21.1,0.0,5.3,42.1
111,2021,김도규,롯데,포크,14.0,130.6,7.9,-14.1,1194.9,-25.1,199.3,129.7,8.6,0.206,0.235,46.2,38.5,15.4,0.0,15.4
112,2021,오승환,삼성,포크,13.0,134.1,15.0,-22.2,1936.3,-66.1,165.4,135.9,12.3,0.188,0.313,42.9,21.4,28.6,7.1,28.6
113,2021,박종기,두산,포크,12.6,129.1,4.9,-11.1,955.0,-61.5,172.8,130.2,17.0,0.286,0.357,29.4,35.3,35.3,0.0,23.5
114,2021,원종현,NC,포크,12.3,137.5,3.8,-19.9,1513.4,-36.2,152.1,128.1,8.1,0.152,0.182,62.5,18.8,12.5,6.3,18.8
115,2021,정해영,KIA,포크,11.4,131.8,12.6,-7.8,1129.4,-59.0,184.0,132.5,19.1,0.217,0.261,31.3,31.3,18.8,18.8,6.3
116,2021,박세웅,롯데,포크,10.9,130.6,6.4,-11.1,1003.8,-23.6,170.5,123.0,15.2,0.172,0.184,39.0,26.8,24.4,9.8,9.8
117,2021,장현식,KIA,포크,10.8,138.0,16.6,-13.7,1582.9,-42.1,179.5,129.5,12.5,0.12,0.12,50.0,25.0,8.3,16.7,16.7
118,2021,가빌리오,SSG,포크,9.2,130.5,14.6,-19.6,1731.6,-20.6,178.3,133.9,13.4,0.314,0.371,33.3,37.0,25.9,3.7,25.9
119,2021,루친스키,NC,포크,9.0,135.7,10.5,-13.4,1306.2,-73.0,172.3,132.6,13.6,0.226,0.29,48.6,20.0,20.0,11.4,22.9
120,2021,곽빈,두산,포크,8.6,130.5,1.0,-11.1,942.9,-46.5,183.9,134.9,24.3,0.121,0.212,18.2,9.1,63.6,9.1,18.2
