,연도,선수,팀,구종,체인지업_구사%,체인지업_구속,체인지업_상하_무브먼트,체인지업_좌우_무브먼트,체인지업_분당_회전수,체인지업_좌우_릴리스포인트,체인지업_상하_릴리스포인트,체인지업_타구_속도,체인지업_상하_각도,체인지업_피안타율,체인지업_피장타율,체인지업_땅볼%,체인지업_라인드라이브%,체인지업_뜬공%,체인지업_팝플라이%,체인지업_강한_타구%
98,2022,요키시,키움,체인지업,16.9,132.4,19.1,28.5,2375.7,66.2,176.0,134.2,12.4,0.236,0.346,40.8,38.2,11.8,9.2,18.4
99,2022,심재민,KT,체인지업,16.8,130.4,25.4,23.4,2421.2,56.1,175.2,140.6,7.7,0.355,0.548,42.1,47.4,0.0,10.5,31.6
100,2022,노바,SSG,체인지업,16.6,136.9,16.0,-26.1,2216.5,-60.1,190.6,133.2,21.6,0.205,0.318,28.0,36.0,20.0,16.0,8.0
101,2022,라미레즈,한화,체인지업,16.5,135.1,15.8,-10.5,1385.7,-19.6,179.6,131.6,14.0,0.233,0.279,39.1,34.8,17.4,8.7,17.4
102,2022,애플러,키움,체인지업,16.2,133.4,14.2,-15.6,1521.7,-38.7,180.7,134.7,8.6,0.223,0.298,50.8,36.1,6.6,6.6,18.0
103,2022,더모디,NC,체인지업,16.2,131.0,16.4,19.6,1796.3,32.2,186.2,133.1,37.5,0.143,0.214,11.8,23.5,11.8,52.9,11.8
104,2022,김민수,KT,체인지업,15.5,127.3,10.1,-11.1,1080.5,-43.5,190.8,129.7,22.6,0.128,0.17,27.6,13.8,48.3,10.3,17.2
105,2022,윤대경,한화,체인지업,14.4,124.9,18.3,-16.4,1651.5,-68.6,173.7,132.6,13.7,0.373,0.647,32.4,44.1,20.6,2.9,14.7
106,2022,놀린,KIA,체인지업,13.6,127.1,16.0,25.7,2033.5,31.7,182.6,134.1,22.2,0.278,0.431,26.9,34.6,25.0,13.5,26.9
107,2022,최준용,롯데,체인지업,13.5,131.4,15.4,-24.0,1992.8,-76.4,164.3,142.1,16.4,0.216,0.378,50.0,18.8,12.5,18.8,37.5
108,2022,오원석,SSG,체인지업,13.3,131.7,19.0,20.9,2003.6,52.0,170.8,132.8,17.9,0.296,0.394,25.0,41.7,18.8,14.6,22.9
109,2022,데스파이네,KT,체인지업,13.1,125.9,19.3,-10.4,1526.1,-33.7,175.6,130.1,18.7,0.347,0.5,28.0,44.0,14.0,14.0,14.0
110,2022,배제성,KT,체인지업,12.9,121.7,26.8,-2.4,1794.1,-36.5,188.1,131.6,23.0,0.238,0.333,23.1,28.8,28.8,19.2,5.8
111,2022,켈리,LG,체인지업,12.5,133.6,17.7,-21.0,1975.5,-25.9,193.9,133.3,13.0,0.203,0.261,47.5,25.0,17.5,10.0,17.5
112,2022,벤자민,KT,체인지업,12.0,131.0,19.5,24.7,2221.3,69.4,189.9,134.2,22.1,0.261,0.5,23.3,30.0,30.0,16.7,20.0
113,2022,브랜든,두산,체인지업,11.9,130.9,12.0,21.7,1738.4,68.3,177.9,134.9,15.3,0.29,0.419,42.1,31.6,21.1,5.3,26.3
114,2022,서준원,롯데,체인지업,10.7,134.2,0.9,-24.9,1812.3,-92.7,127.7,131.1,8.6,0.286,0.286,54.5,27.3,18.2,0.0,27.3
115,2022,곽빈,두산,체인지업,10.1,129.9,13.4,-27.0,2095.3,-44.9,171.0,127.1,22.9,0.238,0.302,22.9,35.4,20.8,20.8,10.4
116,2022,안우진,키움,체인지업,9.8,133.2,22.9,-18.5,2094.4,-24.8,173.6,125.2,22.6,0.169,0.313,25.0,42.5,17.5,15.0,17.5
117,2022,이의리,KIA,체인지업,9.7,134.4,23.6,23.7,2357.4,68.7,177.8,119.5,11.5,0.292,0.354,34.6,38.5,23.1,3.8,0.0
118,2022,스탁,두산,체인지업,9.2,131.9,12.2,-18.7,1615.8,-25.3,167.7,138.0,14.3,0.306,0.528,36.0,40.0,16.0,8.0,28.0
119,2022,파노니,KIA,체인지업,9.0,133.7,20.7,25.3,2279.7,62.9,170.5,125.6,20.8,0.19,0.19,35.3,29.4,11.8,23.5,11.8
120,2022,플럿코,LG,체인지업,6.6,131.6,18.7,-22.2,2044.9,-42.2,182.8,134.1,18.0,0.286,0.429,38.5,34.6,15.4,11.5,19.2
121,2022,최원준,두산,체인지업,6.0,121.7,-0.9,-25.6,1664.1,-85.6,112.3,132.0,12.6,0.393,0.536,52.0,28.0,12.0,8.0,16.0
122,2022,이민호,LG,체인지업,5.8,130.1,18.0,-25.8,2166.5,-62.5,167.9,134.8,11.9,0.389,0.556,40.0,33.3,26.7,0.0,13.3
123,2021,주권,KT,체인지업,67.1,127.6,20.8,-18.3,1911.5,-50.3,165.9,133.6,16.3,0.275,0.359,36.4,33.6,17.3,12.7,13.6
124,2021,이재학,NC,체인지업,50.7,124.0,11.6,-30.6,2147.2,-72.4,152.8,129.6,19.5,0.225,0.42,30.4,30.4,25.9,13.4,12.5
125,2021,박진태,KIA,체인지업,48.7,125.0,-3.7,-28.8,1877.4,-79.1,121.2,132.6,11.7,0.252,0.313,45.5,29.5,15.9,9.1,17.0
126,2021,고영표,KT,체인지업,41.2,117.4,-16.4,-21.9,1704.2,-73.8,112.1,130.0,9.9,0.189,0.273,48.8,31.0,14.7,5.4,14.0
