,Unnamed: 0,월,일,원정,홈,원정점수,홈점수
253,253,6,6,SSG,KIA,2,1
254,254,6,6,KT,롯데,4,1
255,255,6,6,NC,삼성,6,9
256,256,6,7,한화,두산,3,6
257,257,6,7,KT,롯데,3,2
258,258,6,7,LG,키움,5,5
259,259,6,7,NC,삼성,4,0
260,260,6,7,SSG,KIA,9,8
261,261,6,8,한화,두산,1,2
262,262,6,8,KT,롯데,7,6
263,263,6,8,LG,키움,0,13
264,264,6,8,NC,삼성,7,1
265,265,6,8,SSG,KIA,5,4
266,266,6,9,KIA,두산,7,3
267,267,6,9,LG,한화,5,6
268,268,6,9,롯데,삼성,5,1
269,269,6,9,SSG,NC,2,5
270,270,6,9,키움,KT,2,3
271,271,6,10,KIA,두산,6,3
272,272,6,10,LG,한화,0,7
273,273,6,10,롯데,삼성,7,9
274,274,6,10,SSG,NC,0,7
275,275,6,10,키움,KT,5,2
276,276,6,11,KIA,두산,2,3
277,277,6,11,LG,한화,13,7
278,278,6,11,롯데,삼성,4,6
279,279,6,11,SSG,NC,4,8
280,280,6,11,키움,KT,14,5
281,281,6,13,한화,롯데,5,7
282,282,6,13,KIA,키움,0,1
283,283,6,13,KT,SSG,1,8
284,284,6,13,두산,NC,11,4
285,285,6,13,삼성,LG,1,2
286,286,6,14,한화,롯데,8,4
287,287,6,14,KIA,키움,1,2
288,288,6,14,KT,SSG,14,4
289,289,6,14,두산,NC,4,5
290,290,6,14,삼성,LG,2,3
291,291,6,15,한화,롯데,5,4
292,292,6,15,KIA,키움,8,4
293,293,6,15,KT,SSG,7,3
294,294,6,15,두산,NC,3,10
295,295,6,15,삼성,LG,3,9
296,296,6,16,롯데,SSG,1,12
297,297,6,16,NC,KIA,11,13
298,298,6,16,두산,LG,4,7
299,299,6,16,삼성,KT,6,7
300,300,6,16,키움,한화,2,2
301,301,6,17,롯데,SSG,5,8
302,302,6,17,NC,KIA,10,7
303,303,6,17,두산,LG,7,4
304,304,6,17,삼성,KT,5,6
305,305,6,17,키움,한화,9,6
306,306,6,18,롯데,SSG,7,2
307,307,6,18,NC,KIA,7,7
308,308,6,18,두산,LG,3,15
309,309,6,18,삼성,KT,7,5
310,310,6,18,키움,한화,6,5
311,311,6,20,KIA,한화,6,4
312,312,6,20,LG,NC,4,8
313,313,6,20,롯데,KT,2,5
314,314,6,20,SSG,두산,6,1
315,315,6,20,키움,삼성,7,2
316,316,6,21,KIA,한화,4,7
317,317,6,21,LG,NC,9,3
318,318,6,21,롯데,KT,2,8
319,319,6,21,SSG,두산,3,1
320,320,6,21,키움,삼성,2,0
321,321,6,22,KIA,한화,0,1
322,322,6,22,LG,NC,4,3
323,323,6,22,롯데,KT,2,4
324,324,6,22,SSG,두산,5,3
325,325,6,22,키움,삼성,2,1
326,326,6,23,한화,NC,6,2
327,327,6,23,KT,KIA,10,3
328,328,6,23,롯데,LG,2,1
329,329,6,23,두산,키움,2,1
330,330,6,23,삼성,SSG,0,6
331,331,6,24,한화,NC,7,1
332,332,6,24,KT,KIA,1,4
333,333,6,24,롯데,LG,1,9
334,334,6,24,두산,키움,2,4
335,335,6,24,삼성,SSG,10,13
336,336,6,25,두산,키움,17,2
337,337,6,25,롯데,LG,3,7
338,338,6,25,삼성,SSG,5,2
339,339,6,27,KT,한화,1,4
340,340,6,27,LG,SSG,14,0
341,341,6,27,NC,두산,2,3
342,342,6,27,삼성,롯데,3,5
343,343,6,27,키움,KIA,8,1
344,344,6,28,KT,한화,4,6
345,345,6,28,LG,SSG,8,6
346,346,6,28,NC,두산,4,1
347,347,6,28,삼성,롯데,6,9
348,348,6,28,키움,KIA,7,5
349,349,6,30,한화,삼성,6,1
350,350,6,30,KIA,LG,4,5
351,351,6,30,NC,KT,2,3
352,352,6,30,두산,롯데,0,1
353,353,6,30,SSG,키움,7,3
354,354,7,1,한화,삼성,10,4
355,355,7,1,KIA,LG,5,3
356,356,7,1,NC,KT,6,7
357,357,7,1,두산,롯데,2,1
358,358,7,1,SSG,키움,3,6
359,359,7,2,SSG,키움,9,5
360,360,7,2,한화,삼성,1,2
361,361,7,2,KIA,LG,1,3
362,362,7,2,NC,KT,0,5
363,363,7,2,두산,롯데,4,2
364,364,7,4,NC,키움,4,8
365,365,7,4,두산,삼성,5,3
366,366,7,5,KIA,SSG,17,3
367,367,7,5,KT,LG,8,4
368,368,7,5,롯데,한화,3,5
369,369,7,5,NC,키움,0,2
370,370,7,5,두산,삼성,7,4
371,371,7,6,KIA,SSG,7,6
372,372,7,6,KT,LG,7,8
373,373,7,6,롯데,한화,4,3
374,374,7,6,NC,키움,5,4
375,375,7,6,두산,삼성,5,1
376,376,7,7,KIA,KT,6,2
377,377,7,7,키움,두산,0,10
378,378,7,8,KIA,KT,7,0
379,379,7,8,LG,롯데,12,3
380,380,7,8,SSG,한화,9,7
381,381,7,8,삼성,NC,8,0
382,382,7,8,키움,두산,2,5
383,383,7,9,KIA,KT,5,1
384,384,7,9,LG,롯데,4,7
385,385,7,9,SSG,한화,0,7
386,386,7,9,삼성,NC,7,0
387,387,7,9,키움,두산,2,9
388,388,7,11,KT,키움,4,2
389,389,7,12,한화,LG,2,1
390,390,7,12,KT,키움,4,3
391,391,7,12,롯데,NC,2,11
392,392,7,12,두산,SSG,4,1
393,393,7,12,삼성,KIA,2,3
394,394,7,13,KT,키움,9,0
395,395,7,13,롯데,NC,3,13
396,396,7,13,삼성,KIA,4,1
397,397,7,15,드림,나눔,4,8
398,398,7,21,KT,삼성,7,2
399,399,7,21,NC,한화,9,3
400,400,7,21,두산,KIA,5,2
401,401,7,21,SSG,LG,6,4
402,402,7,21,키움,롯데,0,2
403,403,7,22,KT,삼성,2,5
404,404,7,22,NC,한화,7,5
405,405,7,22,키움,롯데,5,3
406,406,7,23,KT,삼성,8,7
407,407,7,23,키움,롯데,7,6
408,408,7,25,한화,키움,16,6
409,409,7,25,KIA,NC,3,5
410,410,7,25,LG,KT,1,4
411,411,7,25,롯데,두산,5,8
412,412,7,25,SSG,삼성,1,5
413,413,7,26,한화,키움,5,4
414,414,7,26,KIA,NC,13,3
415,415,7,26,LG,KT,3,4
416,416,7,26,롯데,두산,7,2
417,417,7,26,SSG,삼성,8,7
418,418,7,27,한화,키움,0,2
419,419,7,27,KIA,NC,0,4
420,420,7,27,LG,KT,9,6
421,421,7,27,롯데,두산,9,1
422,422,7,27,SSG,삼성,5,6
423,423,7,28,한화,SSG,4,3
424,424,7,28,KT,NC,10,2
425,425,7,28,LG,두산,9,2
426,426,7,28,롯데,KIA,5,6
427,427,7,28,삼성,키움,5,5
428,428,7,29,한화,SSG,3,6
429,429,7,29,KT,NC,8,2
430,430,7,29,LG,두산,7,6
431,431,7,29,롯데,KIA,1,4
432,432,7,29,삼성,키움,7,2
433,433,7,30,삼성,키움,10,6
434,434,7,30,한화,SSG,1,6
435,435,7,30,KT,NC,5,2
436,436,7,30,LG,두산,10,0
437,437,7,30,롯데,KIA,3,6
438,438,8,1,KIA,삼성,11,8
439,439,8,1,NC,롯데,6,3
440,440,8,1,두산,한화,8,3
441,441,8,1,SSG,KT,0,8
442,442,8,1,키움,LG,2,4
443,443,8,2,KIA,삼성,6,7
444,444,8,2,NC,롯데,3,6
